Date,Inflation
2024-08,0.005155999999999999
2024-07,0.006023
2024-06,0.007141
2024-05,0.007498
2024-04,0.007581
2024-03,0.007521
2024-02,0.007289
2024-01,0.007048
2023-12,0.007064
2023-11,0.0069889999999999996
2023-10,0.0069759999999999996
2023-09,0.006893
2023-08,0.0064849999999999994
2023-07,0.005608999999999999
2023-06,0.004733
2023-05,0.004662
2023-04,0.004548
2023-03,0.004736000000000001
2023-02,0.005058
2023-01,0.005297
2022-12,0.005193
2022-11,0.006891
2022-10,0.007045
2022-09,0.006808999999999999
2022-08,0.006608
2022-07,0.006169
2022-06,0.005726
2022-05,0.0056040000000000005
2022-04,0.005237
2022-03,0.0048389999999999996
2022-02,0.004405
2022-01,0.003945000000000001
2021-12,0.003188
2021-11,0.001762
2021-10,0.001682
2021-09,0.001698
2021-08,0.001676
2021-07,0.001722
2021-06,0.0017469999999999999
2021-05,0.001699
2021-04,0.001777
2021-03,0.001688
2021-02,0.001621
2021-01,0.00155
2020-12,0.001431
2020-11,0.001326
2020-10,0.001148
2020-09,0.001132
2020-08,0.001103
2020-07,0.0010249999999999999
2020-06,0.001164
2020-05,0.001032
2020-04,0.000993
2020-03,0.001049
2020-02,0.000997
2020-01,0.000988
2019-12,0.000981
2019-11,0.000925
2019-10,0.000667
2019-09,0.0007539999999999999
2019-08,0.00136
2019-07,0.0016200000000000001
2019-06,0.0014860000000000001
2019-05,0.001587
2019-04,0.0016300000000000002
2019-03,0.0017530000000000002
2019-02,0.001812
2019-01,0.001902
2018-12,0.001953
2018-11,0.002072
2018-10,0.002434
2018-09,0.002405
2018-08,0.001722
2018-07,0.00151
2018-06,0.00146
2018-05,0.0012640000000000001
2018-04,0.001224
2018-03,0.001144
2018-02,0.001194
2018-01,0.0012180000000000001
