Date,Gov_Bond_Yield
2024-08,26.715
2024-07,26.465
2024-06,26.745
2024-05,26.33
2024-04,26.3
2024-03,25.115
2024-02,25.2
2024-01,25.92
2023-12,23.61
2023-11,25.635
2023-10,26.375
2023-09,25.99
2023-08,20.54
2023-06,16.83
2023-05,8.96
2023-04,12.16
2023-03,11.795
2023-02,10.205
2023-01,10.395
2022-10,10.92
2022-09,10.955
2022-08,16.155
2022-07,16.71
2022-06,18.45
2022-02,20.925
2022-01,22.245
2021-12,23.215
2021-11,20.17
2021-10,19.345
2021-09,17.85
2021-08,16.505
2021-07,16.85
2021-06,16.62
2021-05,17.84
2021-04,17.73
2021-03,18.265
2021-02,12.86
2021-01,12.555
2020-12,12.445
2020-05,12.81
2020-04,11.51
2020-03,12.945
2020-02,12.69
2020-01,9.95
2019-12,11.93
2019-11,12.12
2019-07,15.52
2019-06,16.06
2019-05,18.07
2019-04,18.925
2019-03,17.18
2018-12,17.255
2018-11,16.19
2018-09,20.03
2018-08,20.66
2018-07,17.59
2018-03,12.265
2018-02,11.585
2018-01,11.41
