Date,TP KFE TR,TP KFE TR-1,TP KFE TR-3
2024-08,146.5,3.6581051439892,34.440671744517
2024-07,141.33,0.92837249160895,38.735643467164
2024-06,140.03,1.5445975344452,46.383023207192
2024-05,137.9,3.9186134137152,51.338893766462
2024-04,132.7,0.92022207011939,51.570531125071
2024-03,131.49,1.2474012474013,55.278696268304
2024-02,129.87,3.3092037228542,65.650510204082
2024-01,125.71,2.6790819243649,70.154304277206
2023-12,122.43,1.9655201132673,83.141361256545
2023-11,120.07,0.74676959221345,87.02492211838
2023-10,119.18,2.5822000344293,91.947173457884
2023-09,116.18,6.6164999541158,95.3261600538
2023-08,108.97,6.9696672229312,93.690010664771
2023-06,101.87,6.4917415847794,92.062594268477
2023-05,95.66,4.982440737489,93.135473450434
2023-04,91.12,4.0776699029126,104.48833034111
2023-03,87.55,3.389230042513,121.98275862069
2023-02,84.68,8.0102040816327,139.2766318169
2023-01,78.4,6.1180292365999,142.72445820433
2022-10,73.88,10.516080777861,146.67779632721
2022-09,66.85,4.1277258566978,151.88394875659
2022-08,64.2,3.3982928007731,176.4857881137
2022-07,62.09,4.3880295897781,186.78983833718
2022-06,59.48,5.7234269463207,186.37457871931
2022-02,56.26,6.0708898944193,181.44072036018
2022-01,53.04,7.0866141732283,173.26120556414
2021-12,49.53,11.153500897666,164.01918976546
2021-11,44.56,12.981744421907,143.89709906951
2021-10,39.44,11.44391070924,120.82866741321
2021-09,35.39,9.5665634674923,104.33025404157
2021-08,32.3,7.8464106844741,90.223792697291
2021-07,29.95,12.84853051997,81.625227410552
2021-06,26.54,14.298018949182,63.524337646334
2021-05,23.22,7.2517321016166,44.582814445828
2021-04,21.65,4.2368801155513,39.049454078356
2021-03,20.77,3.9019509754878,36.375574523966
2021-02,19.99,2.9881504379186,32.73572377158
2021-01,19.41,3.4648187633262,30.707070707071
2020-12,18.76,2.6819923371648,31.005586592179
2020-05,18.27,2.2956326987682,36.34328358209
2020-04,17.86,3.1177829099307,35.817490494297
2020-03,17.32,2.0023557126031,31.911652703732
2020-02,16.98,2.9714978775015,31.730023273856
2020-01,16.49,1.6019716574245,30.769230769231
2019-12,16.23,1.0585305105853,32.058584214809
2019-11,16.06,3.1470777135517,32.289950576606
2019-07,15.57,2.2324359816152,29.641965029142
2019-06,15.23,1.128818061089,28.198653198653
2019-05,15.06,1.4141414141414,27.843803056027
2019-04,14.85,3.7011173184357,29.468177855275
2019-03,14.32,6.865671641791,25.614035087719
2018-12,13.4,1.9011406844106,16.928446771379
2018-11,13.15,0.15232292460015,16.268788682582
2018-09,13.13,1.8619084561676,16.814946619217
2018-08,12.89,2.2204599524187,15.192135835567
2018-07,12.61,2.6037428803906,12.790697674419
2018-03,12.29,1.2355848434926,9.8302055406613
2018-02,12.14,1.082431307244,7.243816254417
2018-01,12.01,1.0942760942761,6.283185840708
